Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
10.180	0.43	-0.10	1.08
10.200	0.43	-0.07	1.08
10.220	0.43	-0.05	1.08
10.240	0.43	-0.03	1.08
10.260	0.43	-0.01	0.97
10.280	0.43	0.01	0.85
10.300	0.43	0.02	0.96
10.320	0.43	0.05	1.07
10.340	0.43	0.07	1.07
10.360	0.43	0.09	1.19
10.380	0.44	0.11	1.09
10.400	0.44	0.13	0.85
10.420	0.44	0.15	0.97
10.440	0.44	0.17	0.98
10.460	0.45	0.19	0.76
10.480	0.45	0.20	0.64
10.500	0.46	0.21	0.64
10.520	0.46	0.23	0.64
10.540	0.46	0.24	0.75
10.560	0.47	0.26	0.76
10.580	0.48	0.27	0.64
10.600	0.48	0.28	0.65
10.620	0.49	0.30	0.54
10.640	0.49	0.30	0.44
10.660	0.50	0.31	0.34
10.680	0.50	0.32	0.11
10.700	0.51	0.32	0.10
10.720	0.52	0.32	0.13
10.740	0.52	0.32	1.30
10.760	0.53	0.37	1.36
10.780	0.54	0.38	-1.18
10.800	0.55	0.33	-1.26
10.820	0.55	0.33	-0.24
10.840	0.56	0.32	0.10
10.860	0.56	0.33	0.33
10.880	0.57	0.33	-1.21
10.900	0.58	0.28	-0.95
10.920	0.58	0.29	0.29
10.940	0.59	0.29	-0.64
10.960	0.60	0.27	-0.89
10.980	0.60	0.26	0.88
11.000	0.61	0.30	0.86
11.020	0.61	0.29	-1.83
11.040	0.62	0.23	-1.91
11.060	0.62	0.22	-0.84
11.080	0.63	0.20	-1.07
11.100	0.63	0.17	-1.06
11.120	0.63	0.15	-1.18
11.140	0.64	0.13	-1.19
11.160	0.64	0.11	-1.09
11.180	0.64	0.08	-0.87
11.200	0.64	0.07	-0.72
11.220	0.64	0.05	-1.07
11.240	0.64	0.03	-1.08
11.260	0.64	0.01	-0.95
11.280	0.64	-0.01	-1.19
11.300	0.64	-0.04	-1.09
11.320	0.64	-0.05	-0.95
11.340	0.64	-0.08	-1.19
11.360	0.64	-0.10	-1.11
11.380	0.64	-0.12	-0.76
11.400	0.63	-0.13	-0.65
11.420	0.63	-0.15	-0.65
11.440	0.63	-0.16	-0.65
11.460	0.63	-0.17	-0.53
11.480	0.62	-0.18	-1.93
11.500	0.62	-0.25	-2.26
11.520	0.61	-0.27	0.29
11.540	0.61	-0.24	0.74
11.560	0.60	-0.24	-0.39
11.580	0.60	-0.25	-0.92
11.600	0.59	-0.28	-0.25
11.620	0.59	-0.26	0.26
11.640	0.58	-0.27	-0.34
11.660	0.58	-0.28	-0.03
11.680	0.57	-0.27	-1.05
11.700	0.57	-0.32	-1.58
11.720	0.56	-0.33	0.83
11.740	0.55	-0.28	1.27
11.760	0.55	-0.28	0.11
11.780	0.54	-0.28	0.10
11.800	0.54	-0.28	0.22
11.820	0.53	-0.27	0.21
11.840	0.52	-0.27	0.32
11.860	0.52	-0.26	0.43
11.880	0.51	-0.25	0.43
11.900	0.51	-0.24	0.44
11.920	0.50	-0.23	0.32
11.940	0.50	-0.23	0.42
11.960	0.50	-0.22	0.65
11.980	0.49	-0.20	0.65
12.000	0.49	-0.19	0.65
12.020	0.48	-0.18	0.64
12.040	0.48	-0.16	0.75
12.060	0.48	-0.15	0.87
12.080	0.47	-0.13	0.76
12.100	0.47	-0.12	0.64
12.120	0.47	-0.10	0.75
12.140	0.47	-0.09	0.87
12.160	0.47	-0.07	0.76
12.180	0.46	-0.06	0.63
12.200	0.46	-0.04	0.85
12.220	0.46	-0.02	0.97
12.240	0.46	-0.01	0.86
12.260	0.46	0.01	0.86
12.280	0.46	0.03	0.86
12.300	0.46	0.05	0.87
12.320	0.47	0.06	0.75
12.340	0.47	0.08	0.75
12.360	0.47	0.09	0.76
12.380	0.47	0.11	0.64
12.400	0.47	0.12	0.64
12.420	0.48	0.13	0.64
12.440	0.48	0.15	0.64
12.460	0.48	0.16	0.64
12.480	0.48	0.17	0.76
12.500	0.49	0.19	0.65
12.520	0.49	0.20	0.54
12.540	0.50	0.21	0.56
12.560	0.50	0.22	0.22
12.580	0.50	0.22	0.08
12.600	0.51	0.22	0.33
12.620	0.51	0.23	1.86
12.640	0.52	0.30	0.12
12.660	0.53	0.24	-3.34
12.680	0.53	0.16	-0.10
12.700	0.53	0.23	-0.17
12.720	0.54	0.16	0.38
12.740	0.54	0.25	4.22
12.760	0.55	0.32	0.93
12.780	0.55	0.29	-0.03
12.800	0.56	0.32	-0.82
12.820	0.56	0.25	-1.86
12.840	0.57	0.25	-14.38
12.860	0.57	-0.32	-11.76
12.880	0.56	-0.22	25.86
12.900	0.57	0.71	20.10
12.920	0.58	0.58	-12.58
12.940	0.59	0.21	-10.13
12.960	0.59	0.18	-1.23
12.980	0.60	0.16	-0.62
13.000	0.60	0.15	-1.09
13.020	0.60	0.12	0.38
13.040	0.60	0.17	1.24
13.060	0.61	0.17	-2.15
13.080	0.61	0.08	-2.28
13.100	0.61	0.07	-0.46
13.120	0.61	0.06	-2.26
13.140	0.61	-0.02	-8.05
13.160	0.61	-0.26	-2.28
13.180	0.60	-0.11	6.24
13.200	0.61	-0.01	2.08
13.220	0.60	-0.02	5.43
13.240	0.61	0.21	-8.47
13.260	0.61	-0.36	-10.73
13.280	0.59	-0.22	17.32
13.300	0.60	0.33	-6.37
13.320	0.61	-0.47	-16.63
13.340	0.58	-0.34	19.97
13.360	0.59	0.32	9.82
13.380	0.60	0.06	-14.15
13.400	0.59	-0.24	-5.87
13.420	0.59	-0.18	3.34
13.440	0.59	-0.11	-0.78
13.460	0.58	-0.21	-1.88
13.480	0.58	-0.18	0.17
13.500	0.58	-0.20	-0.56
13.520	0.57	-0.21	-1.83
13.540	0.57	-0.27	-0.57
13.560	0.56	-0.23	1.38
13.580	0.56	-0.22	-1.27
13.600	0.55	-0.28	-0.22
13.620	0.55	-0.23	1.40
13.640	0.54	-0.22	0.02
13.660	0.54	-0.23	-0.24
13.680	0.53	-0.23	0.10
