Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
9,375	0,64	-0,30	-0,37
9,400	0,64	-0,30	-1,03
9,425	0,63	-0,35	-1,22
9,450	0,62	-0,36	0,47
9,475	0,61	-0,32	0,73
9,500	0,60	-0,32	0,06
9,525	0,59	-0,32	0,20
9,550	0,59	-0,31	0,34
9,575	0,58	-0,30	0,47
9,600	0,57	-0,29	-0,41
9,625	0,56	-0,32	-0,59
9,650	0,55	-0,32	1,16
9,675	0,55	-0,27	1,36
9,700	0,54	-0,25	0,48
9,725	0,54	-0,24	0,55
9,750	0,53	-0,22	0,62
9,775	0,52	-0,21	0,61
9,800	0,52	-0,19	0,76
9,825	0,51	-0,17	0,69
9,850	0,51	-0,16	0,61
9,875	0,51	-0,14	0,75
9,900	0,50	-0,12	0,83
9,925	0,50	-0,10	0,76
9,950	0,50	-0,08	0,75
9,975	0,50	-0,06	0,83
10,000	0,50	-0,04	0,83
10,025	0,49	-0,02	0,76
10,050	0,49	0,00	0,68
10,075	0,49	0,01	0,76
10,100	0,49	0,03	0,69
10,125	0,50	0,05	0,61
10,150	0,50	0,06	0,69
10,175	0,50	0,08	0,62
10,200	0,50	0,10	0,55
10,225	0,50	0,11	0,55
10,250	0,51	0,12	0,55
10,275	0,51	0,14	0,49
10,300	0,51	0,15	0,42
10,325	0,52	0,16	0,35
10,350	0,52	0,16	0,27
10,375	0,53	0,17	0,35
10,400	0,53	0,18	0,28
10,425	0,53	0,19	0,21
10,450	0,54	0,19	0,21
10,475	0,54	0,20	0,07
10,500	0,55	0,20	9,49E-14
10,525	0,55	0,20	0,00
10,550	0,56	0,20	0,07
10,575	0,56	0,20	0,00
10,600	0,57	0,20	-0,12
10,625	0,57	0,19	0,77
10,650	0,58	0,23	0,73
10,675	0,59	0,23	-1,03
10,700	0,59	0,18	-1,09
10,725	0,59	0,18	-0,21
10,750	0,60	0,17	-0,13
10,775	0,60	0,17	-0,20
10,800	0,61	0,16	-0,27
10,825	0,61	0,16	-0,27
10,850	0,61	0,15	-0,34
10,875	0,62	0,14	-0,35
10,900	0,62	0,13	-0,20
10,925	0,62	0,13	-0,25
10,950	0,63	0,12	-0,63
10,975	0,63	0,10	-0,44
11,000	0,63	0,10	-0,04
11,025	0,64	0,09	0,49
11,050	0,64	0,12	0,46
11,075	0,64	0,12	-1,17
11,100	0,64	0,06	-1,24
11,125	0,64	0,06	-0,27
11,150	0,65	0,05	-0,35
11,175	0,65	0,04	-0,29
11,200	0,65	0,03	-0,13
11,225	0,65	0,03	-0,28
11,250	0,65	0,02	-0,29
11,275	0,65	0,02	-0,13
11,300	0,65	0,01	-0,21
11,325	0,65	0,01	-0,21
11,350	0,65	0,00	-0,14
11,375	0,65	2,60E-4	-0,14
11,400	0,65	0,00	-0,14
11,425	0,65	-0,01	-0,13
11,450	0,65	-0,01	-0,21
11,475	0,65	-0,02	-0,21
11,500	0,65	-0,02	-0,13
11,525	0,65	-0,02	-0,21
11,550	0,65	-0,03	-0,22
11,575	0,65	-0,03	-0,06
11,600	0,65	-0,03	-0,13
11,625	0,65	-0,04	-0,29
11,650	0,64	-0,05	-0,14
11,675	0,64	-0,05	-0,06
11,700	0,64	-0,05	-0,14
11,725	0,64	-0,05	-0,07
11,750	0,64	-0,05	-1,03
11,775	0,64	-0,11	-1,22
11,800	0,63	-0,12	0,55
11,825	0,63	-0,08	0,69
11,850	0,63	-0,08	-0,29
11,875	0,63	-0,09	-0,15
11,900	0,63	-0,09	0,03
11,925	0,62	-0,09	-0,49
11,950	0,62	-0,11	-0,37
11,975	0,62	-0,11	0,02
12,000	0,62	-0,11	-0,34
12,025	0,61	-0,13	-0,36
12,050	0,61	-0,13	-0,07
12,075	0,61	-0,13	-0,06
12,100	0,60	-0,13	-0,13
12,125	0,60	-0,14	-0,20
12,150	0,60	-0,14	-0,28
12,175	0,59	-0,15	-0,16
12,200	0,59	-0,15	-0,89
12,225	0,58	-0,20	-1,00
12,250	0,58	-0,20	0,61
12,275	0,57	-0,17	0,74
12,300	0,57	-0,17	7,33E-14
12,325	0,57	-0,17	0,00
12,350	0,56	-0,16	-0,07
