Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
14,800	0,51	-0,40	1,36
14,820	0,50	-0,40	0,45
14,840	0,50	-0,39	0,22
14,860	0,49	-0,39	0,07
14,880	0,48	-0,38	0,65
14,900	0,47	-0,37	0,66
14,920	0,47	-0,36	0,42
14,940	0,46	-0,35	0,53
14,960	0,45	-0,34	0,65
14,980	0,45	-0,32	0,64
15,000	0,44	-0,31	0,75
15,020	0,43	-0,29	0,76
15,040	0,43	-0,28	0,65
15,060	0,42	-0,27	0,63
15,080	0,42	-0,26	0,86
15,100	0,41	-0,23	0,98
15,120	0,41	-0,22	0,74
15,140	0,40	-0,20	0,96
15,160	0,40	-0,18	1,09
15,180	0,40	-0,16	0,86
15,200	0,39	-0,14	0,96
15,220	0,39	-0,12	1,08
15,240	0,39	-0,10	0,97
15,260	0,39	-0,08	0,85
15,280	0,38	-0,07	1,07
15,300	0,38	-0,04	1,19
15,320	0,38	-0,02	0,97
15,340	0,38	0,00	0,96
15,360	0,38	0,02	1,18
15,380	0,38	0,05	1,19
15,400	0,39	0,07	0,97
15,420	0,39	0,08	0,96
15,440	0,39	0,11	1,08
15,460	0,39	0,13	0,97
15,480	0,39	0,15	0,86
15,500	0,40	0,16	0,86
15,520	0,40	0,18	0,86
15,540	0,40	0,20	0,85
15,560	0,41	0,21	0,96
15,580	0,41	0,24	1,09
15,600	0,42	0,26	0,87
15,620	0,42	0,27	0,64
15,640	0,43	0,28	0,75
15,660	0,43	0,30	0,76
15,680	0,44	0,31	0,54
15,700	0,45	0,32	0,53
15,720	0,45	0,33	0,65
15,740	0,46	0,35	0,54
15,760	0,47	0,36	0,41
15,780	0,47	0,36	0,64
15,800	0,48	0,38	0,67
15,820	0,49	0,39	0,21
15,840	0,50	0,39	0,21
15,860	0,51	0,40	0,12
15,880	0,51	0,40	1,40
15,900	0,52	0,46	1,58
15,920	0,53	0,46	-1,06
15,940	0,54	0,41	-1,34
15,960	0,55	0,40	-0,61
15,980	0,56	0,39	0,31
16,000	0,56	0,42	0,62
16,020	0,57	0,41	-0,54
16,040	0,58	0,40	-0,56
16,060	0,59	0,39	-0,21
16,080	0,60	0,39	-0,31
16,100	0,60	0,38	0,88
16,120	0,61	0,42	0,86
16,140	0,62	0,41	-1,73
16,160	0,63	0,35	-1,70
16,180	0,63	0,34	-0,66
