Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
6,660	0,63	-0,19	-2,94
6,680	0,63	-0,21	1,30
6,700	0,63	-0,14	1,39
6,720	0,62	-0,16	-1,09
6,740	0,62	-0,18	-1,00
6,760	0,62	-0,20	-0,61
6,780	0,61	-0,21	-1,09
6,800	0,61	-0,24	-0,99
6,820	0,60	-0,25	-0,78
6,840	0,60	-0,27	-0,45
6,860	0,59	-0,27	-0,16
6,880	0,59	-0,28	-0,92
6,900	0,58	-0,30	-0,12
6,920	0,57	-0,28	0,04
6,940	0,57	-0,30	-0,47
6,960	0,56	-0,30	0,10
6,980	0,56	-0,30	-1,29
7,000	0,55	-0,35	-1,48
7,020	0,54	-0,36	1,08
7,040	0,54	-0,31	1,15
7,060	0,53	-0,31	0,10
7,080	0,52	-0,31	0,22
7,100	0,52	-0,30	0,10
7,120	0,51	-0,30	0,20
7,140	0,51	-0,29	0,42
7,160	0,50	-0,28	0,54
7,180	0,49	-0,27	0,55
7,200	0,49	-0,26	0,42
7,220	0,48	-0,25	0,54
7,240	0,48	-0,24	0,54
7,260	0,47	-0,23	0,53
7,280	0,47	-0,22	0,64
7,300	0,47	-0,21	0,75
7,320	0,46	-0,19	0,86
7,340	0,46	-0,17	0,85
7,360	0,45	-0,16	0,97
7,380	0,45	-0,13	0,98
7,400	0,45	-0,12	0,75
7,420	0,45	-0,10	0,85
7,440	0,45	-0,08	0,98
7,460	0,44	-0,07	0,85
7,480	0,44	-0,05	0,97
7,500	0,44	-0,03	0,97
7,520	0,44	-0,01	0,96
7,540	0,44	0,01	1,07
7,560	0,44	0,03	1,07
7,580	0,44	0,05	1,07
7,600	0,44	0,08	1,08
7,620	0,45	0,10	0,98
7,640	0,45	0,12	0,75
7,660	0,45	0,13	0,74
7,680	0,45	0,15	0,86
7,700	0,46	0,16	0,86
7,720	0,46	0,18	0,86
7,740	0,46	0,20	0,87
7,760	0,47	0,21	0,75
7,780	0,47	0,23	0,75
7,800	0,48	0,24	0,77
7,820	0,48	0,26	0,54
7,840	0,49	0,27	0,53
7,860	0,49	0,28	0,66
7,880	0,50	0,29	0,44
7,900	0,50	0,30	0,20
7,920	0,51	0,30	0,44
7,940	0,52	0,31	0,34
7,960	0,52	0,31	0,01
7,980	0,53	0,31	1,40
8,000	0,53	0,37	1,47
8,020	0,54	0,37	-1,07
8,040	0,55	0,33	-1,14
8,060	0,56	0,33	-0,21
8,080	0,56	0,32	-0,23
8,100	0,57	0,32	0,06
8,120	0,58	0,32	-0,79
8,140	0,58	0,29	-0,39
8,160	0,59	0,30	0,67
8,180	0,59	0,31	-0,98
8,200	0,60	0,27	-0,95
8,220	0,60	0,27	0,18
8,240	0,61	0,27	0,68
8,260	0,62	0,30	0,44
8,280	0,62	0,29	-2,11
8,300	0,63	0,22	-4,16
8,320	0,63	0,12	-0,93
8,340	0,63	0,18	2,81
8,360	0,64	0,24	-1,04
8,380	0,64	0,14	-2,88
8,400	0,64	0,12	-0,52
8,420	0,65	0,12	-0,63
8,440	0,65	0,10	-2,11
8,460	0,65	0,03	-1,41
8,480	0,65	0,04	0,10
8,500	0,65	0,04	-1,05
8,520	0,65	0,00	-1,33
