Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
6.320	0.21	-0.05	1.38
6.340	0.20	-0.02	1.94
6.360	0.20	0.03	1.73
6.380	0.21	0.05	1.50
6.400	0.21	0.08	1.73
6.420	0.21	0.12	1.51
6.440	0.21	0.15	1.39
6.460	0.22	0.17	1.71
6.480	0.22	0.21	2.05
6.500	0.22	0.26	1.73
6.520	0.23	0.28	1.28
6.540	0.23	0.31	1.50
6.560	0.24	0.34	1.51
6.580	0.25	0.37	1.28
6.600	0.26	0.39	1.40
6.620	0.26	0.42	1.19
6.640	0.27	0.44	0.95
6.660	0.28	0.46	1.18
6.680	0.29	0.49	1.18
6.700	0.30	0.51	1.18
6.720	0.31	0.54	1.19
6.740	0.32	0.56	0.97
6.760	0.33	0.57	0.86
6.780	0.35	0.59	0.76
6.800	0.36	0.60	0.55
6.820	0.37	0.61	0.32
6.840	0.38	0.62	0.47
6.860	0.39	0.63	-1.79
6.880	0.41	0.55	-8.86
6.900	0.42	0.28	4.77
6.920	0.42	0.74	18.25
6.940	0.45	1.01	-2.22
6.960	0.46	0.65	-8.99
6.980	0.47	0.65	-0.10
7.000	0.49	0.64	-0.22
7.020	0.50	0.64	-0.10
7.040	0.51	0.64	-0.20
7.060	0.52	0.63	-0.43
7.080	0.54	0.62	-0.43
7.100	0.55	0.61	-0.42
7.120	0.56	0.61	-0.55
7.140	0.57	0.59	-0.44
7.160	0.58	0.59	1.13
7.180	0.60	0.64	0.69
7.200	0.61	0.62	-2.55
7.220	0.62	0.54	-2.93
7.240	0.63	0.50	-1.34
7.260	0.64	0.48	0.57
7.280	0.65	0.52	0.54
7.300	0.66	0.50	-3.21
7.320	0.67	0.39	-3.56
7.340	0.68	0.36	-0.84
7.360	0.69	0.36	-0.91
7.380	0.69	0.32	-1.52
7.400	0.70	0.30	-1.28
7.420	0.70	0.27	-1.37
7.440	0.71	0.24	-1.61
7.460	0.71	0.21	-1.62
7.480	0.72	0.18	-1.50
7.500	0.72	0.15	-1.49
7.520	0.72	0.12	-1.61
7.540	0.73	0.08	-1.62
7.560	0.73	0.05	-1.48
7.580	0.73	0.03	-1.73
7.600	0.73	-0.01	-1.62
7.620	0.73	-0.04	-1.47
7.640	0.73	-0.07	-1.85
7.660	0.72	-0.11	-1.63
7.680	0.72	-0.14	-1.48
7.700	0.72	-0.17	-1.74
7.720	0.71	-0.21	-1.52
7.740	0.71	-0.23	-1.39
7.760	0.71	-0.26	-1.52
7.780	0.70	-0.29	-1.41
7.800	0.69	-0.32	-1.30
7.820	0.69	-0.35	-1.21
7.840	0.68	-0.37	-0.95
7.860	0.67	-0.38	-1.13
7.880	0.66	-0.41	-1.60
7.900	0.66	-0.45	-3.06
7.920	0.65	-0.54	-2.84
7.940	0.63	-0.56	0.09
7.960	0.62	-0.53	0.44
7.980	0.61	-0.54	-0.93
8.000	0.60	-0.57	-1.46
8.020	0.59	-0.60	-0.71
8.040	0.58	-0.60	-1.28
8.060	0.57	-0.65	-1.58
8.080	0.55	-0.66	0.77
8.100	0.54	-0.62	0.63
8.120	0.53	-0.64	-0.56
8.140	0.51	-0.65	-0.24
8.160	0.50	-0.65	0.12
8.180	0.49	-0.64	0.01
8.200	0.48	-0.65	-0.09
8.220	0.46	-0.65	-0.46
8.240	0.45	-0.66	0.05
8.260	0.44	-0.64	1.03
8.280	0.42	-0.62	0.02
8.300	0.41	-0.64	-0.25
8.320	0.40	-0.63	0.43
8.340	0.39	-0.63	0.54
8.360	0.37	-0.61	0.54
8.380	0.36	-0.60	0.52
8.400	0.35	-0.59	0.86
8.420	0.34	-0.57	0.98
8.440	0.33	-0.55	0.86
8.460	0.32	-0.53	0.97
8.480	0.30	-0.51	1.09
8.500	0.29	-0.49	0.86
8.520	0.29	-0.48	0.85
8.540	0.28	-0.46	1.29
8.560	0.27	-0.43	1.41
8.580	0.26	-0.40	1.29
8.600	0.25	-0.38	1.40
8.620	0.24	-0.35	1.51
8.640	0.24	-0.32	1.51
8.660	0.23	-0.29	1.62
8.680	0.23	-0.25	1.62
8.700	0.22	-0.22	1.51
8.720	0.22	-0.19	1.40
8.740	0.21	-0.16	1.39
8.760	0.21	-0.13	1.72
8.780	0.21	-0.10	1.84
8.800	0.21	-0.06	1.61
8.820	0.21	-0.03	1.61
8.840	0.21	0.00	1.83
8.860	0.21	0.04	1.83
8.880	0.21	0.08	1.61
8.900	0.21	0.11	1.72
8.920	0.21	0.15	1.73
8.940	0.21	0.18	1.28
8.960	0.22	0.20	1.38
8.980	0.22	0.23	1.72
9.000	0.23	0.27	1.61
9.020	0.23	0.30	1.50
9.040	0.24	0.33	1.50
9.060	0.25	0.36	1.50
9.080	0.25	0.39	1.51
9.100	0.26	0.42	1.30
9.120	0.27	0.44	0.96
9.140	0.28	0.45	0.95
9.160	0.29	0.48	1.18
9.180	0.30	0.50	1.19
9.200	0.31	0.52	0.97
9.220	0.32	0.54	0.85
9.240	0.33	0.56	0.96
9.260	0.34	0.58	0.97
9.280	0.35	0.60	0.76
9.300	0.37	0.61	0.55
9.320	0.38	0.62	0.32
9.340	0.39	0.62	0.31
9.360	0.40	0.63	0.43
9.380	0.41	0.64	0.33
9.400	0.43	0.64	0.11
9.420	0.44	0.64	0.11
9.440	0.45	0.65	0.12
9.460	0.47	0.65	-0.10
9.480	0.48	0.64	-0.22
9.500	0.49	0.64	-0.11
9.520	0.51	0.64	0.02
9.540	0.52	0.64	-0.40
9.560	0.53	0.62	0.63
9.580	0.54	0.67	1.06
9.600	0.56	0.67	-1.72
9.620	0.57	0.60	-1.83
9.640	0.58	0.59	-0.16
9.660	0.59	0.59	-0.83
9.680	0.60	0.56	-1.33
9.700	0.62	0.54	0.55
9.720	0.63	0.58	0.72
9.740	0.64	0.57	-2.65
9.760	0.65	0.48	-3.13
9.780	0.66	0.44	-1.62
9.800	0.67	0.41	-1.51
9.820	0.67	0.38	-1.41
9.840	0.68	0.35	-1.19
9.860	0.69	0.33	-1.04
9.880	0.70	0.31	-1.38
9.900	0.70	0.28	-1.52
9.920	0.71	0.25	-1.26
9.940	0.71	0.23	-1.49
9.960	0.72	0.19	-1.62
9.980	0.72	0.16	-1.48
10.000	0.72	0.13	-1.72
10.020	0.72	0.09	-1.74
10.040	0.73	0.06	-1.49
10.060	0.73	0.03	-1.61
10.080	0.73	0.00	-1.61
10.100	0.73	-0.03	-1.61
10.120	0.73	-0.07	-1.62
10.140	0.72	-0.10	-1.50
10.160	0.72	-0.13	-1.60
10.180	0.72	-0.16	-1.73
10.200	0.72	-0.19	-1.64
10.220	0.71	-0.23	-1.41
10.240	0.71	-0.25	-1.29
10.260	0.70	-0.28	-1.29
10.280	0.70	-0.30	-1.30
10.300	0.69	-0.33	-1.18
10.320	0.68	-0.35	-1.24
10.340	0.68	-0.38	-1.86
10.360	0.67	-0.42	-1.46
10.380	0.66	-0.44	-1.97
10.400	0.65	-0.50	-3.11
10.420	0.64	-0.56	-0.89
10.440	0.63	-0.54	0.76
10.460	0.62	-0.53	-0.46
10.480	0.61	-0.56	-2.88
10.500	0.59	-0.65	-2.23
10.520	0.58	-0.65	1.44
10.540	0.57	-0.59	1.11
10.560	0.56	-0.60	-0.66
10.580	0.54	-0.62	-0.55
10.600	0.53	-0.62	-0.44
10.620	0.52	-0.63	-0.34
10.640	0.51	-0.64	-0.11
10.660	0.49	-0.64	-0.10
10.680	0.48	-0.64	-0.22
10.700	0.47	-0.65	-0.12
10.720	0.46	-0.65	0.11
10.740	0.44	-0.64	-0.01
10.760	0.43	-0.65	0.19
10.780	0.42	-0.63	0.67
10.800	0.40	-0.62	0.22
10.820	0.39	-0.63	0.20
10.840	0.38	-0.61	0.55
10.860	0.37	-0.60	0.43
10.880	0.35	-0.60	0.53
10.900	0.34	-0.58	0.74
10.920	0.33	-0.57	1.07
10.940	0.32	-0.54	1.20
10.960	0.31	-0.52	0.97
10.980	0.30	-0.50	0.97
11.000	0.29	-0.48	1.08
11.020	0.28	-0.46	1.08
11.040	0.27	-0.44	1.19
11.060	0.26	-0.41	1.19
11.080	0.26	-0.39	1.17
11.100	0.25	-0.36	1.51
11.120	0.24	-0.33	1.62
11.140	0.23	-0.30	1.61
11.160	0.23	-0.26	1.73
11.180	0.22	-0.23	1.51
11.200	0.22	-0.20	1.50
11.220	0.22	-0.17	1.73
11.240	0.21	-0.13	1.41
11.260	0.21	-0.11	1.16
11.280	0.21	-0.09	1.82
11.300	0.21	-0.04	2.17
11.320	0.21	-6.47E-4	1.50
11.340	0.21	0.02	1.60
11.360	0.21	0.06	1.95
11.380	0.21	0.10	1.50
11.400	0.21	0.12	1.61
11.420	0.21	0.16	1.73
11.440	0.22	0.19	1.39
11.460	0.22	0.22	1.50
11.480	0.23	0.25	1.62
11.500	0.23	0.28	1.39
